NIVEL,CLAVE DE LA ESCUELA,TURNO,ALUMNOS PROGRAMADOS PRUEBA,PORCENTAJE DE EVALUADOS LENGUAJE Y COMUNICACION,PORCENTAJE DE EVALUADOS MATEMATICAS,LA PRUEBA ES REPRESENTATIVA LEGUAJE Y COMUNICACION,LA PRUEBA ES REPRESENTATIVA  MATEMATICAS,INFORMACION POCO CONFIABLE LENGUAJE Y COMUNICACIÓN,INFORMACION POCO CONFIABLE MATEMATICAS,NIVEL I LENGUAJE Y COMUNICACION (%),NIVEL II LENGUAJE Y COMUNICACION (%),NIVEL III LENGUAJE Y COMUNICACION (%),NIVEL IV LENGUAJE Y COMUNICACION (%),NIVEL PREDOMINANTE LENGUAJE Y COMUNICACION ,NIVEL I MATEMATICAS (%),NIVEL II MATEMATICAS (%),NIVEL III MATEMATICAS (%),NIVEL IV MATEMATICAS (%),NIVEL PREDOMINANTE MATEMATICAS
PRIMARIA,14DPB0001Y,MATUTINO,12,83.3,83.3,SI,SI,NO,NO,90,10,,, I ,100,,,,I
PRIMARIA,14DPB0002X,COMPLETO,58,96.6,96.6,SI,SI,NO,NO,98.2,1.8,,, I ,78.6,17.9,3.6,,I
PRIMARIA,14DPB0004V,MATUTINO,13,100,100,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPB0005U,MATUTINO,12,91.7,91.7,SI,SI,NO,NO,90.9,9.1,,, I ,90.9,9.1,,,I
PRIMARIA,14DPB0006T,COMPLETO,35,94.3,94.3,SI,SI,NO,NO,97,3,,, I ,87.9,12.1,,,I
PRIMARIA,14DPB0007S,COMPLETO,35,100,100,SI,SI,SI,NO,82.9,14.3,2.9,, I ,88.6,8.6,2.9,,I
PRIMARIA,14DPB0008R,MATUTINO,6,83.3,83.3,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPB0009Q,MATUTINO,6,100,100,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPB0010F,MATUTINO,8,87.5,100,SI,SI,NO,NO,85.7,14.3,,, I ,100,,,,I
PRIMARIA,14DPB0011E,MATUTINO,4,100,100,SI,SI,NO,NO,100,,,, I ,,,75,25,III
PRIMARIA,14DPB0012D,MATUTINO,10,100,100,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPB0013C,COMPLETO,35,100,100,SI,SI,NO,NO,94.3,,5.7,, I ,62.9,20,5.7,11.4,I
