INSTANCIA,PRONOSTICO,TEMPERATURA,HUMEDAD,VIENTO,JUGAR
1,rainy,85,85,FALSE,NO
2,rainy,51,51,TRUE,NO
3,overcast,83,50,FALSE,YES
4,rainy,69,51,FALSE,NO
5,rainy,70,51,FALSE,YES
6,rainy,51,50,FALSE,YES
7,rainy,65,70,TRUE,NO
8,overcast,64,65,TRUE,YES
9,rainy,72,95,TRUE,NO
10,rainy,60,90,TRUE,YES
11,overcast,69,70,FALSE,YES
12,rainy,75,80,FALSE,YES
13,overcast,10,80,TRUE,YES
14,rainy,75,70,TRUE,YES
15,overcast,51,70,TRUE,NO
16,overcast,81,51,FALSE,YES
17,overcast,58,20,FALSE,NO
18,rainy,73,75,TRUE,YES
19,rainy,71,91,TRUE,NO
20,overcast,13,37,FALSE,NO
21,rainy,77,18,TRUE,YES
22,rainy,13,33,TRUE,NO
23,rainy,32,16,TRUE,YES
24,overcast,25,97,FALSE,YES
25,rainy,22,81,TRUE,NO
26,overcast,80,38,FALSE,NO
27,rainy,99,35,TRUE,NO
28,rainy,64,12,FALSE,YES
29,overcast,79,20,FALSE,NO
30,overcast,33,30,FALSE,YES
31,overcast,39,54,TRUE,YES
32,rainy,62,8,FALSE,NO
33,rainy,43,75,TRUE,YES
34,overcast,85,56,FALSE,YES
35,overcast,18,83,FALSE,NO
36,rainy,88,69,FALSE,NO
37,rainy,81,17,FALSE,YES
38,rainy,17,81,TRUE,YES
39,overcast,69,23,TRUE,NO
40,rainy,95,74,TRUE,NO
41,overcast,91,72,TRUE,YES
42,rainy,21,23,TRUE,YES
43,rainy,75,85,TRUE,NO
44,rainy,37,57,FALSE,YES
45,rainy,17,30,TRUE,NO
46,rainy,71,80,FALSE,NO
47,rainy,8,26,TRUE,YES
48,overcast,5,72,FALSE,NO
49,rainy,73,87,TRUE,NO
50,rainy,13,51,FALSE,NO
51,rainy,58,59,FALSE,YES
52,rainy,8,93,FALSE,NO
53,overcast,90,13,FALSE,NO
54,rainy,37,42,TRUE,NO
55,rainy,16,12,TRUE,NO
56,overcast,48,48,FALSE,YES
57,overcast,54,97,TRUE,YES
58,rainy,11,66,FALSE,NO
59,rainy,46,30,FALSE,NO
60,overcast,54,85,FALSE,NO
61,rainy,18,18,FALSE,NO
62,rainy,73,86,FALSE,YES
63,rainy,59,47,TRUE,YES
64,rainy,11,40,FALSE,YES
65,overcast,71,88,FALSE,YES
66,rainy,36,52,FALSE,NO
67,overcast,20,28,FALSE,NO
68,rainy,31,88,FALSE,YES
69,overcast,20,79,TRUE,NO
70,rainy,20,56,TRUE,NO
71,rainy,90,2,TRUE,YES
72,rainy,65,38,TRUE,NO
73,rainy,45,50,TRUE,NO
74,rainy,44,83,TRUE,YES
75,overcast,79,30,FALSE,YES
76,rainy,65,33,TRUE,YES
77,overcast,29,62,TRUE,YES
78,rainy,47,7,TRUE,YES
79,rainy,38,44,TRUE,YES
80,overcast,62,58,TRUE,YES
81,overcast,55,54,FALSE,NO
82,rainy,85,46,FALSE,NO
83,rainy,55,37,TRUE,NO
84,overcast,52,84,TRUE,NO
85,rainy,15,49,FALSE,NO
86,rainy,48,3,FALSE,YES
87,rainy,5,77,TRUE,YES
88,rainy,14,16,FALSE,NO
89,overcast,82,89,FALSE,YES
90,rainy,55,61,FALSE,YES
91,rainy,76,20,FALSE,NO
92,rainy,25,98,FALSE,NO
93,rainy,82,44,FALSE,NO
94,overcast,39,30,FALSE,NO
95,rainy,64,93,FALSE,YES
96,overcast,65,1,FALSE,NO
97,rainy,27,92,FALSE,NO
98,overcast,99,14,TRUE,YES
99,rainy,8,43,TRUE,YES
100,overcast,51,44,TRUE,YES
101,overcast,31,62,FALSE,YES
102,rainy,5,58,FALSE,YES
103,rainy,16,21,TRUE,NO
104,overcast,98,20,TRUE,NO
105,rainy,87,68,FALSE,NO
106,overcast,69,74,FALSE,YES
107,overcast,36,55,FALSE,NO
108,overcast,28,49,TRUE,NO
109,rainy,3,60,FALSE,NO
110,rainy,78,79,TRUE,NO
111,rainy,52,62,FALSE,NO
112,rainy,37,29,FALSE,YES
113,rainy,79,38,TRUE,YES
114,rainy,89,82,TRUE,NO
115,rainy,82,86,FALSE,YES
116,rainy,30,7,FALSE,NO
117,rainy,62,60,FALSE,YES
118,rainy,19,9,TRUE,YES
119,overcast,39,53,TRUE,YES
120,rainy,65,78,FALSE,YES
121,rainy,82,70,TRUE,NO
122,rainy,24,99,TRUE,NO
123,overcast,3,82,TRUE,YES
124,rainy,28,41,TRUE,YES
125,rainy,46,35,FALSE,YES
126,rainy,40,6,TRUE,YES
127,rainy,56,70,FALSE,YES
128,overcast,17,28,FALSE,NO
129,rainy,19,88,FALSE,YES
130,rainy,6,55,FALSE,NO
131,overcast,99,31,FALSE,YES
132,rainy,24,92,FALSE,YES
133,rainy,78,18,TRUE,NO
134,rainy,9,37,TRUE,YES
135,rainy,2,73,TRUE,YES
136,rainy,14,22,FALSE,YES
137,rainy,11,8,TRUE,NO
138,rainy,64,29,TRUE,NO
139,rainy,27,59,FALSE,NO
140,rainy,8,78,FALSE,NO
141,overcast,5,100,TRUE,NO
142,rainy,20,13,FALSE,YES
143,rainy,9,23,FALSE,NO
144,rainy,75,10,TRUE,NO
145,overcast,32,58,TRUE,NO
146,rainy,91,12,FALSE,YES
147,rainy,99,49,FALSE,NO
148,rainy,51,53,TRUE,YES
149,rainy,69,71,FALSE,NO
150,rainy,89,45,FALSE,NO
151,rainy,70,15,FALSE,NO
152,rainy,4,71,FALSE,NO
153,overcast,91,91,FALSE,YES
154,rainy,96,21,FALSE,YES
155,overcast,84,90,FALSE,YES
156,rainy,36,5,FALSE,NO
157,rainy,48,52,TRUE,YES
158,overcast,27,27,TRUE,NO
159,overcast,7,27,TRUE,YES
160,rainy,78,35,TRUE,NO
161,overcast,54,66,TRUE,YES
162,rainy,89,16,TRUE,NO
163,rainy,14,86,FALSE,YES
164,overcast,1,1,TRUE,YES
165,rainy,12,59,FALSE,NO
166,rainy,14,96,TRUE,NO
167,rainy,16,58,FALSE,NO
168,overcast,17,54,TRUE,NO
169,rainy,73,94,TRUE,NO
170,rainy,88,21,FALSE,YES
171,overcast,39,12,FALSE,NO
172,rainy,67,55,FALSE,NO
173,rainy,91,98,TRUE,NO
174,overcast,99,55,TRUE,NO
175,rainy,17,69,FALSE,YES
176,overcast,7,67,TRUE,NO
177,overcast,9,34,FALSE,NO
178,rainy,22,5,FALSE,NO
179,rainy,57,24,FALSE,NO
180,rainy,18,14,TRUE,NO
181,overcast,67,80,TRUE,YES
182,overcast,32,47,TRUE,YES
183,rainy,7,97,FALSE,NO
184,overcast,8,41,FALSE,YES
185,overcast,78,62,TRUE,YES
186,overcast,19,82,TRUE,YES
187,rainy,63,32,TRUE,NO
188,rainy,42,99,FALSE,YES
189,overcast,68,85,FALSE,YES
190,overcast,7,23,TRUE,NO
191,rainy,38,61,TRUE,YES
192,overcast,13,17,TRUE,YES
193,rainy,93,96,FALSE,YES
194,overcast,30,39,FALSE,YES
