
@relation 
@attribute INSTANCIA categoric \w+
@attribute PRONOSTICO categoric \w+
@attribute TEMPERATURA categoric \w+
@attribute HUMEDAD categoric \w+
@attribute VIENTO categoric \w+
@attribute JUGAR categoric \w+
@missingValue 
@data
4103,overcast,90,14,TRUE,YES
4162,rainy,76,79,TRUE,YES
3046,overcast,72,38,TRUE,NO
1962,rainy,15,3,TRUE,NO
1043,rainy,39,83,TRUE,NO
5300,overcast,66,95,FALSE,NO
606,rainy,67,39,FALSE,NO
5283,rainy,1,54,FALSE,YES
430,rainy,33,10,TRUE,NO
2698,rainy,1,85,FALSE,NO
3535,rainy,79,9,TRUE,YES
818,rainy,56,4,FALSE,NO
4206,rainy,46,10,FALSE,YES
5713,overcast,60,61,FALSE,YES
3462,rainy,72,37,FALSE,NO
279,rainy,6,16,TRUE,YES
5914,rainy,66,44,TRUE,YES
1433,rainy,86,90,TRUE,YES
713,overcast,98,8,TRUE,YES
4818,overcast,28,80,FALSE,NO
4539,rainy,87,21,TRUE,NO
4551,rainy,96,18,TRUE,YES
3766,rainy,94,19,FALSE,NO
2204,rainy,76,66,FALSE,YES
5812,rainy,20,85,TRUE,NO
5323,rainy,86,2,TRUE,YES
3020,rainy,10,6,TRUE,YES
4933,rainy,15,22,TRUE,YES
3194,rainy,41,57,FALSE,YES
4035,rainy,91,59,FALSE,YES
5575,rainy,66,90,TRUE,NO
5505,overcast,35,78,FALSE,NO
4762,overcast,58,31,FALSE,NO
537,rainy,66,43,TRUE,YES
5389,rainy,64,18,FALSE,NO
5791,overcast,47,14,FALSE,NO
4799,overcast,33,14,TRUE,YES
1782,rainy,74,76,FALSE,YES
1608,rainy,43,89,TRUE,YES
421,rainy,67,25,FALSE,YES
3524,rainy,5,20,FALSE,YES
3512,rainy,68,34,TRUE,YES
4135,rainy,23,61,FALSE,YES
4112,overcast,62,24,FALSE,NO
3874,rainy,12,38,FALSE,NO
1489,rainy,30,72,TRUE,NO
2091,overcast,69,8,FALSE,YES
5055,rainy,19,6,FALSE,YES
2193,rainy,91,8,FALSE,NO
2965,overcast,100,4,TRUE,NO
170,rainy,88,21,FALSE,YES
5456,rainy,39,69,TRUE,YES
3944,rainy,87,71,TRUE,NO
5134,rainy,50,26,TRUE,NO
920,rainy,73,100,FALSE,NO
5553,overcast,43,36,TRUE,YES
396,rainy,57,52,FALSE,YES
843,rainy,9,96,FALSE,NO
2152,overcast,28,94,TRUE,NO
1722,rainy,20,82,FALSE,NO
2280,overcast,74,99,TRUE,NO
1675,overcast,41,100,FALSE,YES
2090,rainy,9,73,FALSE,YES
2396,rainy,24,80,TRUE,NO
3124,rainy,92,38,TRUE,NO
4031,rainy,24,64,TRUE,NO
2058,rainy,17,77,TRUE,NO
3669,rainy,73,73,FALSE,NO
325,overcast,92,92,TRUE,NO
3672,overcast,67,23,FALSE,NO
1481,overcast,80,96,TRUE,YES
4133,rainy,1,81,TRUE,NO
5827,rainy,100,94,TRUE,NO
292,overcast,24,80,FALSE,NO
1295,rainy,18,88,TRUE,NO
1028,rainy,47,2,FALSE,NO
416,rainy,88,56,TRUE,YES
5656,rainy,1,34,FALSE,YES
4332,rainy,68,58,TRUE,YES
4324,overcast,37,1,FALSE,YES
3233,overcast,21,97,TRUE,NO
3967,overcast,11,96,FALSE,YES
2740,rainy,100,26,TRUE,NO
229,overcast,55,47,FALSE,NO
3866,rainy,29,87,FALSE,NO
119,overcast,39,53,TRUE,YES
1561,rainy,56,94,FALSE,NO
5629,rainy,1,98,FALSE,NO
5619,rainy,28,61,FALSE,YES
5837,rainy,47,23,TRUE,NO
5396,overcast,47,68,TRUE,NO
3957,overcast,89,98,TRUE,YES
5632,rainy,82,71,FALSE,NO
5887,overcast,4,40,FALSE,YES
4143,rainy,44,48,FALSE,NO
1850,rainy,84,67,FALSE,NO
1423,overcast,70,1,TRUE,NO
1740,rainy,48,43,TRUE,NO
988,rainy,57,25,TRUE,NO
5844,rainy,16,1,TRUE,NO
5433,rainy,56,67,FALSE,YES
4423,rainy,34,51,FALSE,NO
4731,overcast,46,8,FALSE,NO
4522,overcast,21,56,TRUE,YES
1485,overcast,66,79,TRUE,NO
2039,rainy,83,82,TRUE,NO
5631,rainy,76,20,TRUE,YES
3652,rainy,81,38,TRUE,YES
3840,overcast,51,35,FALSE,NO
5894,rainy,1,65,TRUE,NO
5138,overcast,14,100,TRUE,NO
741,overcast,9,13,TRUE,NO
2513,overcast,26,82,FALSE,YES
3830,rainy,38,38,TRUE,YES
4491,overcast,51,75,TRUE,YES
4315,rainy,68,43,TRUE,YES
4936,rainy,15,78,TRUE,NO
1861,rainy,87,53,TRUE,NO
4531,rainy,26,93,TRUE,NO
3005,overcast,36,23,TRUE,YES
2470,overcast,50,62,FALSE,NO
2430,overcast,54,43,TRUE,NO
4052,rainy,28,19,TRUE,NO
489,overcast,11,61,FALSE,YES
4278,overcast,54,27,TRUE,YES
3526,rainy,82,61,FALSE,NO
4502,rainy,32,2,FALSE,NO
5941,rainy,8,26,TRUE,NO
2151,overcast,50,92,TRUE,NO
5447,overcast,85,78,FALSE,YES
5607,rainy,71,59,TRUE,NO
4678,overcast,92,55,TRUE,NO
4669,overcast,50,86,FALSE,NO
4489,rainy,4,49,TRUE,NO
4892,overcast,47,51,FALSE,YES
4812,rainy,31,13,TRUE,NO
5237,overcast,40,96,FALSE,NO
4219,rainy,64,8,FALSE,YES
4746,rainy,38,49,TRUE,NO
1828,overcast,34,100,FALSE,YES
490,rainy,88,90,TRUE,NO
3910,rainy,91,10,TRUE,NO
1790,rainy,40,34,TRUE,YES
5727,rainy,73,9,TRUE,YES
700,overcast,94,77,TRUE,YES
4655,overcast,20,45,FALSE,YES
1444,rainy,24,97,TRUE,YES
1803,overcast,44,29,TRUE,NO
1397,rainy,22,59,FALSE,NO
5829,rainy,71,43,TRUE,NO
